Wavelength [nm],Refractive Index (Im)
400.385938745829,1.78918764302059
403.459119060641,1.7440884937138
405.917668547066,1.70308931468553
408.376218033491,1.66618993135011
410.527445562503,1.61289084148625
412.678673091515,1.55959192620808
413.907947834728,1.51449277690128
415.137222577941,1.45299392106604
416.98112814954,1.39559503550933
418.825046807579,1.33409617967409
420.361643508204,1.28489688550308
421.89822712239,1.22339802966783
423.742145780429,1.14959961216837
425.893373309441,1.07990081577607
428.65923166684,1.02250193021936
431.732425068091,0.96510304466265
434.49828342549,0.911804129384475
437.264154869328,0.854404894656393
440.644657141553,0.805205949656751
443.717837456365,0.764206596042799
447.712983643416,0.723207591600222
450.171533129841,0.68220823798627
454.473988187865,0.637108914093786
458.469121288476,0.592009939372676
461.542301603288,0.551010585758724
465.230138919366,0.501811640759082
469.53259397739,0.456712316866598
472.913083163175,0.411613342145488
477.830182136025,0.370613988531536
482.439959151463,0.329614634917584
487.357058124313,0.29271560075354
492.581479054577,0.264016157975186
497.805899984841,0.23941633630399
503.337616699638,0.218916834082702
508.562037629901,0.206616923247104
514.093780517578,0.198417331861413
519.625497232375,0.19431736158288
524.849918162639,0.190217391304348
529.767017135489,0.186117421025815
534.68411610834,0.17791748046875
539.908510865723,0.173817859361592
544.518287881161,0.169717889083059
548.513447154652,0.161517948525994
552.815902212676,0.161517948525994
558.04032314294,0.161517948525994
563.572039857737,0.157417978247461
569.103782745414,0.149218037690396
574.328177502797,0.145118067411864
579.552598433061,0.145118067411864
583.855053491085,0.145118067411864
589.386796378762,0.136918476026173
595.225835050972,0.13281850574764
600.450255981236,0.128718535469108
605.060032996673,0.124618565190575
609.977131969524,0.120518594912042
615.508874857201,0.11641862463351
620.118651872638,0.112319003526352
625.650368587435,0.108219033247819
630.874789517699,0.104119062969286
635.484566533136,0.0959191224122211
640.401665505987,0.0959191224122211
645.62608643625,0.0959191224122211
650.235863451688,0.0959191224122211
654.845640467125,0.0959191224122211
659.762713267096,0.0918191521336885
664.372490282533,0.0836192115766233
669.289589255384,0.0795195904694651
673.284748528875,0.0836192115766233
677.587203586899,0.0836192115766233
681.58231051463,0.0795195904694651
687.114053402307,0.0754196201909325
691.109186502918,0.0795195904694651
696.333607433182,0.0713196499123999
702.787316193098,0.0631197093553347
708.933702995601,0.0590197390768021
714.158071580105,0.0467201774125787
720.919102297434,0.0385202368555134
726.450845185111,0.0303202962984482
732.597179641855,0.0303202962984482
738.743566444358,0.0262203260199156
799.899955474697,0.0303202962984482
830.324462838279,0.0221207049127574
894.55401909699,0.0139207643556922
