Wavelength [nm],Refractive Index (Re)
401.715265866209,5.03432494279176
405.145797598628,5.04576659038902
407.718696397942,5.09153318077803
410.720411663808,5.12585812356979
414.150943396226,5.15446224256293
416.72384219554,5.16590389016018
420.583190394511,5.15446224256293
420.583190394511,5.15446224256293
423.156089193825,5.13157894736842
424.871355060034,5.09725400457666
427.301317218237,5.06197556205418
429.302456366668,5.03146453089245
431.017722232878,5.00095349973072
433.590621032191,4.9551869093417
435.877646549284,4.91323414328988
438.164672066376,4.87890920049811
439.879937932585,4.84839816933638
442.166950363238,4.82170096251184
443.882216229447,4.79118993135011
446.455115028761,4.75686498855835
448.742140545853,4.72254004576659
451.029166062946,4.69584292623489
454.745571077586,4.65770398452026
458.176102810004,4.62337904172849
461.892507824644,4.59286809785961
465.894799207946,4.55854315506785
469.897090591247,4.53184586095046
475.042888189875,4.50896256575595
479.902799419842,4.4975209181587
484.190964085365,4.48226544622426
489.622634966214,4.470823798627
495.054318933503,4.46319597536694
501.629496029679,4.44794050343249
507.632926561411,4.43268503149805
513.064610528701,4.42505720823799
518.782154691771,4.40980173630354
523.356205725956,4.40217391304348
527.644370391479,4.39073226544622
531.932535057003,4.36784897025172
536.506586091187,4.3487794993944
541.080610952492,4.32971020312277
547.084041484224,4.31445455660264
564.236700146317,4.24580467101911
586.249296211256,4.15427149024108
614.551183003709,4.06273830946305
637.135499460211,3.99027459954233
657.146943290279,3.925438538296
672.584336086162,3.87204429923261
683.733564216522,3.83009153318078
702.887375113486,3.77288329519451
716.895388411821,3.74237217673993
726.901071067535,3.73855835240275
736.620945873228,3.74237217673993
745.483135400056,3.75381382433719
760.920528195939,3.77288329519451
774.642655125613,3.78813876712895
780.646085657346,3.79195276605183
786.377952929018,3.78823409091417
793.753575215413,3.77593435466426
802.973129246288,3.76773458869288
812.807327191989,3.75543485244297
822.026881222864,3.73903514591453
831.246435253739,3.73903514591453
839.544023412374,3.73083520535746
889.944248624772,3.6898360263292
897.627245214341,3.68573605605067
846.91969804453,3.72673523507893
855.217286203165,3.70213576257911
864.129518276627,3.69803579230058
873.041750350089,3.69803579230058
881.646660466137,3.68573605605067
